,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Maldives,0.0827393808743256,0.08324442418331976,0.006854433997018604,-0.11970407504264693,0.08557501362706203,0.08124950694979813,-0.06600410604694032,-0.05372124388980875
Mali,0.026457070494236075,0.01002794340654784,-0.024443173209585677,-0.07759158347025978,0.03231567066968274,0.00553996104694504,-0.025316839588943856,-0.08149707064564357
Malta,-0.022654211817075828,-0.0019489592275081836,0.018120055213857907,-0.030183451656216373,-0.017288333045072744,-0.003895027032531391,0.014763185847372172,-0.04456246067886841
Martinique,0.012791101737574875,0.012843868191994588,-0.07917665741875904,-0.10424755858417847,0.011197650950568534,0.012304125389343444,-0.1002804735501183,-0.08555458335208965
Mauritania,-0.022053425312536498,-0.03386884167234503,0.020107702323514717,-0.08859962639335525,-0.03043779412940304,-0.019716113190410688,-0.04885470360109275,-0.007061037710477319
Mauritius,-0.01800355832786806,-0.017935098506993312,-0.14111479986644634,-0.10186832196950212,-0.014417422017393811,-0.020236951225789123,-0.13460566534232607,-0.10297198667218349
Mexico,-0.012326423049158361,-0.03315105571644165,-0.019495321567239387,-0.016278209219377865,-0.009838289439066734,-0.03139808671058807,-0.01577836639954458,-0.02207273714285064
Moldova,0.024300724297618315,-0.004543640661086348,0.01742671176626913,0.02323562380129236,0.02168600014807845,-0.00044217906183470707,0.0187474677262009,0.02577822704836175
Mongolia,0.005342236637217962,-0.015946769650062385,-0.02826825909494353,-0.014407118452322582,0.0024386542025260434,-0.011133582172415947,-0.024822672066922954,-0.01574053934679844
Montenegro,-0.04663670015415584,0.026673036514533913,0.03095176767941052,-0.007297756422917061,-0.04003279501807368,0.023605949408971063,0.028082442832803894,0.003063752588782757
Montserrat,0.024980499107518293,-0.07954189563549792,0.015871256719343255,-0.011042003388627094,-0.015460536281059844,-0.02843076191897558,0.011019807227593985,-0.0007338438545147689
Morocco,0.009385800258438737,-0.0016302102476869387,-0.0454106804201551,-0.057784948291318666,0.006014935964282585,0.0002514549831060438,-0.036672734714737566,-0.06892155569101827
Namibia,-0.012754911761680403,-0.013183788957961184,0.050545174663564466,0.06976374127321854,-0.02052787610866511,-0.007405200341617035,0.05970710274703377,0.05772637518588086
Nepal,-0.039484082999052324,-0.050644851330182324,-0.023189451335822245,-0.049150155920888804,-0.04498557761250729,-0.04961459877380503,-0.023591410060640847,-0.046177899497511825
Netherlands,-0.01589854407533246,0.00806762689233129,-0.00522953695625379,-0.014437370909563072,-0.013258556401183046,0.006552261741153555,-0.0069736421544294965,-0.012303986593169464
Netherlands Antilles (former),,,0.057758752973718824,0.11293656086725172,,,0.07104128122356075,0.10297883506579965
New Caledonia,0.04727531995039708,0.027352154450561106,0.027878417712882613,-0.012824113533571014,0.045914659081347155,0.027459639598054635,0.008474220175808112,0.005963231284356718
New Zealand,0.0391540295251373,0.007471112225324349,-0.004422312235882579,0.0015854989609356193,0.036190485590688236,0.008408770731784946,-0.01198453154007312,0.006474988822680744
Nicaragua,-0.013118662501322379,0.017570851400024436,0.013391548089277455,0.00337518793622494,-0.009643617507109629,0.016787950391236105,0.011090005576436903,0.005731566425469007
Niger,-0.03850806966865962,-0.04034994561131722,0.0445374462413094,0.08059555014936591,-0.033561306738952384,-0.042431597007646774,0.04452875671588596,0.07846757392424732
Nigeria,-0.02623270560198914,0.016898292569757816,-0.049851514473992636,-0.04868731510745534,-0.0459788746771789,0.018010117314945413,-0.05224936592574133,-0.04466825798479713
North Macedonia,0.03083314930321225,-0.004776021933716654,0.10074583156584677,0.09330456484559495,0.02587126150730993,0.001486958515101922,0.10029611152914314,0.09350677459400339
Norway,-0.037555581488213426,-0.005639064412462547,-0.05214246050342936,-0.06380415775780497,-0.03606863300518262,-0.004658760261328101,-0.05268144089670178,-0.06326245570846603
Oman,0.029820481232425353,0.03383421014019247,-0.02926512384013356,-0.031040581975666462,0.030793014029915387,0.033498397499700495,-0.02244446445491227,-0.03694859156645925
Pakistan,0.028712556460172435,0.020811513175636287,0.005875225959667526,-0.004959207443944939,0.028004153400258802,0.02303811698281919,0.0009495139171173907,-0.004507424905018232
Panama,-0.028521498118022324,-0.019459354651446596,-0.0946970489502546,-0.02575967734760406,-0.03018226243340207,-0.015144841591330801,-0.07950099647808156,-0.04077188840322547
Papua New Guinea,0.05079110889096271,0.006699878950994341,0.053643592389430894,0.22233494605903426,0.05627333843818316,0.004771431451266039,0.06755026723516627,0.1947485605386265
Paraguay,-0.0015225787826308127,0.041829324456757966,0.02781121242652437,0.027707288150785492,0.007158675463643773,0.03462374165656227,0.029891022248020403,0.024770770351810207
Peru,0.007648148475723872,0.0046749095330770206,0.011645079780722009,0.009303973050327857,0.006352971377167483,0.007823812625250608,0.013903530547327349,0.008464103672432562
Philippines,0.013425458405707745,-0.007474439703529644,0.003281125736991348,-0.005063004898200268,0.010784640918350883,-0.0026243195712153285,0.002263959994347487,-0.0055896064376419075
Poland,-0.01813417219913604,-0.0035011320538529136,-0.004717597297770246,-0.019211334016395194,-0.009458243879142358,-0.008931217865699713,-0.0076795074137781215,-0.016220901210838818
Portugal,-0.021826354170660544,-0.01674422725261205,0.02005331134152233,0.011459294157696075,-0.01840802169687636,-0.01814131136582324,0.015701560588599863,0.01349283779478312
Qatar,0.0402477894689183,0.05640372397194376,0.03762950603021688,0.17966876350995772,0.04372612025851396,0.05218825427939939,0.04289639024065758,0.1749505355886217
Romania,-0.05516335096073089,-0.048046879426821607,0.016627884570435767,0.016225504347622762,-0.05510965385989845,-0.04592912718841862,0.013834079951610258,0.015882812893922883
Russian Federation,-0.005491984137296148,0.019443920100447015,-0.01114346697965215,0.007874370367430987,-0.00362269650334052,0.019444173587195752,-0.011634735941206824,0.00467021857955047
Rwanda,0.018210560033552863,0.03835759453111651,0.0769997589131492,0.16198256116328058,0.020058210305554512,0.03531940486434393,0.07942485696278785,0.18390095213196064
Réunion,-0.10864511139744581,-0.1299472551219786,0.05225729855729104,-0.00651177816677421,-0.10803601284576339,-0.1300413240325913,0.038228399808097044,0.0028266164163237213
Sao Tome and Principe,-0.06410767983837176,-0.131972529845245,0.1471176164335772,-0.02315619698807672,-0.07969891197006189,-0.11555959866841174,0.0954279078504683,-0.08057377479910309
Saudi Arabia,0.040653485370663406,0.07286649165496026,0.015610278272409083,-0.001580999342190945,0.04423804502884501,0.07028210096985378,0.016789474737343588,-0.003928387504502427
Senegal,-0.05486396481974413,-0.00021170807984722683,0.09021379524097183,0.07160996767455181,-0.045784542419087366,-0.005409654524354542,0.08999856822395706,0.07291085666857638
Serbia,-0.056430678202175504,0.021851645710446434,0.024625200665347166,0.046425155686064305,-0.053712762874059676,0.025253221721678213,0.03415507703067643,0.03459904996350692
Serbia and Montenegro,0.06605071187693631,-0.004460144076519008,0.0016589860851776818,0.009643600464060346,0.03864139050264888,0.01263598539949413,0.00235388904540573,0.007142937323038912
Seychelles,0.026209720946898045,0.04541221502053838,0.0,0.0,0.04288675349027825,0.028396077811274425,0.0,0.0
Sierra Leone,0.07661978411064847,0.0030069991674527285,-0.04333383068561887,-0.20835668507796867,0.09205115244051866,0.003304937333585445,-0.06113109005539061,-0.17445023499599172
Singapore,-0.019020279623363678,-0.010807455704053583,0.014168056679288344,-0.008795995873463858,-0.018387588010986194,-0.011487120776238334,0.012736558224314347,-0.00745114000193375
Slovak Republic,-0.12033746339485396,-0.1351058295444008,-0.006170144994807374,-0.012806918973659794,-0.12864917531876624,-0.12716682156101455,-0.008226679068404049,-0.00998701341247134
Slovenia,0.04122428336388709,0.015335142035799214,0.004082785763141155,0.003017494575498194,0.04317814735421178,0.01388232297185936,0.002311204349358767,0.0029647903753169213
Solomon Islands,0.06386296977503196,0.024245134423428034,0.049610902013701386,0.028858677979690148,0.05264914568925739,0.042537797626285206,0.039234789996695774,0.039234789996695774
