,gdp_af_in_pr,gdp_af_in_vl,gdp_af_ex_pr,gdp_af_ex_vl,gdp_af_in_pr2,gdp_af_in_vl2,gdp_af_ex_pr2,gdp_af_ex_vl2,pop_af_in_pr,pop_af_in_vl,pop_af_ex_pr,pop_af_ex_vl,pop_af_in_pr2,pop_af_in_vl2,pop_af_ex_pr2,pop_af_ex_vl2
Estonia,-0.006450856370702525,-0.009490396485438323,-0.006072502441796732,-0.01359279308127108,-0.00688217269590748,-0.0082025962678385,-0.007733731668388148,-0.012348416071051124,-0.015498772803743344,-0.019992014729402655,-0.009726748701816598,-0.02551643475332729,-0.014539186382210295,-0.018501859887407237,-0.013489775587470764,-0.023025308697776622
Eswatini,-0.011569618231255968,0.004611646140670445,0.04374138558259988,0.024174955589231283,-0.012928900154873897,0.002721349485696112,0.07274904484086561,0.023431608373746873,-0.02082115924255849,0.011416894413715782,0.05711671596730402,0.006479757922162056,-0.019058091668460436,0.0066205493117058424,0.10941950499139974,0.0056408028894009065
Ethiopia,-0.003343650770127471,-0.016988493948162067,0.003127020205352766,0.0035887091622343035,-0.006177521748770589,-0.012072476728873799,0.001022091033497674,0.004729206267452306,-0.0038916353850599133,-0.02335836394887051,-0.005819627258815953,-0.010213791019942624,-0.008185433963897091,-0.01721279635788816,-0.011914009690273626,-0.0056010468715662455
Ethiopia PDR,-0.0869638355803473,-0.117319115195565,,,-0.08315791211961068,-0.12072133157218587,,,-0.09238269625274345,-0.1178611693280398,,,-0.08446730104652599,-0.12516222312505726,,
Faroe Islands,-0.00187204974213339,0.06713065680884003,,,-0.012373664111212598,0.07386515684137313,,,-0.040608257575826465,0.036418390829995664,,,-0.05746185560193369,0.045713665814491135,,
Fiji,0.008018717301340118,-0.017083671003279614,0.0056515030500613305,-0.014919884518197129,0.00685793443325112,-0.014982808720086338,0.0025590091342206247,-0.011515906039427337,0.01326950426507289,-0.02519490238134654,0.016901322974702985,-0.009843021565061923,0.0092959464208818,-0.02201338483480061,0.011896140723362352,-0.007411943248181742
Finland,-0.009409949773198086,0.016225962678406966,0.03715324217007797,0.0579088187281888,-0.007897184321387437,0.012990036802851492,0.04214620536860656,0.051043727294144615,-0.013047451915115088,0.017237122509815055,0.04551312781136501,0.06853631445276068,-0.010916281934779878,0.014726097185004061,0.050088696826800144,0.06150808970720417
France,0.015343792516926347,0.02281956549148784,0.0052763137749224556,0.03941931603695424,0.01822585112580933,0.02152623752883769,0.006518961896589939,0.03406125713286644,0.016634879737396687,0.021976901783112082,0.01544036747813062,0.05726750957017371,0.019283473181812286,0.021247390219870325,0.016045697377903817,0.05282829425385827
French Guiana,-0.028865955935025625,0.012049315513992784,,,-0.030237832248500157,0.009844767488818067,,,-0.03393758060381267,0.007203367967693941,,,-0.03227797526497394,0.0037396650242900384,,
French Polynesia,-0.0018838310587667821,0.0012155791391446828,,,-0.0030071180939528785,0.0024634090941145505,,,-2.5495204998059488e-05,0.011473788348493696,,,0.001099150594829128,0.012556134355049592,,
Gabon,-0.024345724269231015,-0.019310960790318302,0.012974198961732483,0.032961554144119186,-0.027994956836197033,-0.018808790796737116,0.01821476731777235,0.02701168163208318,-0.039883805708704145,-0.03525181651794619,0.09644851779291959,0.1487419072249603,-0.043937661209194456,-0.03411464977567603,0.1108356448101621,0.13208362897030462
"Gambia, The",0.040382751887357904,0.04721473793761192,-0.07986378891844591,-0.09264229913985966,0.0426291678189717,0.038909706223002154,-0.08296479103965125,-0.08794446423447004,0.09984616662044181,0.10325575604114322,-0.11627130340764723,-0.11642646024186677,0.0963911519674081,0.09395204078585881,-0.10890270477542587,-0.11956855073984834
Georgia,-0.002676078359737335,-0.0013851357893402024,0.05097294355979511,0.04870914954162661,-0.005480183511582998,0.0035214380549924242,0.055248294773696305,0.045700332340129025,-0.003962205141078825,0.005957619699966337,0.11381353005523141,0.09587249860860719,-0.006766315255595494,0.015558521031526948,0.11687292331188323,0.09447171316339703
Germany,-0.02415878807313076,-0.04062959538238753,0.015171070482092621,0.013244089939603203,-0.030272470980538143,-0.03350927618283747,0.015663017403553896,0.01327130914407838,-0.04813698626490825,-0.06690167063193847,0.024493447065269517,0.019250298272495508,-0.054109494590875246,-0.05914250556313147,0.024214196923162505,0.020198345291068925
Ghana,0.00534569029418892,0.00030160045297855816,-0.045874741461458035,-0.027198488639383206,0.0039195136935985045,0.002489101614166349,-0.05487305801604959,-0.02436602826076274,0.010073763279526629,0.011158025536932355,-0.07026721690472659,-0.027449890993809407,0.008032194279292058,0.01291598319319189,-0.07430799048318343,-0.027935873604400238
