name,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Nigeria,-0.06565427364285506,0.019370776188511518,-0.05317396430608635,-0.040719370299313634,-0.047371443531395635,0.017564115076697546,-0.05140306066294503,-0.044173271799263454
Macedonia,0.018760901099776704,0.007478175810032682,0.09660513123339326,0.09231672682881037,0.02486743957531584,0.000796936315038595,0.09806930528456408,0.09142040281436456
Norway,-0.03291018850669953,-0.003878803211973553,-0.051552552257456606,-0.06230988461230948,-0.035174169131835936,-0.004686875196810426,-0.051608850230675296,-0.06198371800053627
Oman,0.030491731799126363,0.033599385152410205,-0.01311625082457068,-0.042890791967008735,0.030301509041596425,0.032906176408946136,-0.021344541620833147,-0.0356124638252047
Pakistan,0.026209902836147148,0.0246973791192971,-0.004784094993687271,-0.0038620980917413424,0.027334468269442042,0.022278856397985148,0.00040241412308723965,-0.0044375769944955575
Panama,-0.03096470758056964,-0.011246099282874652,-0.058607979311811186,-0.055212593813462496,-0.029734304001665737,-0.015320282838059324,-0.07627668043334987,-0.038373263932242815
Papua New Guinea,0.060066930069420425,0.0020075158744958877,0.07946252897193029,0.17078516439110494,0.055762365830320855,0.004765511752469767,0.06790180931274084,0.19400289803479293
Paraguay,0.016944623895256732,0.027951421821279916,0.030689018885669807,0.022519019670406662,0.007937514821678815,0.034707860087928775,0.02957165943995308,0.024646040274240985
Peru,0.005104581382611636,0.01024457456933558,0.015376216492489034,0.007965178709911131,0.006003379712836508,0.007261100112550043,0.0139566274080161,0.008418196400963703
Philippines,0.007685664758741403,0.0013138548282375598,0.0009039809114490734,-0.006208960510852292,0.010219605062887662,-0.0031678712121748303,0.002123959997744921,-0.00543491933129535
Poland,0.0004135837759973354,-0.01359359792156034,-0.010930219332018229,-0.013384149971333529,-0.008248914268948939,-0.008112967884373322,-0.007818941372853912,-0.016210003516610685
Portugal,-0.013837242051713073,-0.019325539864968905,0.010330369349459152,0.015155409237673802,-0.01764775893793692,-0.01760767000320718,0.014868795503904204,0.012970439088381443
Qatar,0.04679195466658759,0.04708578961964209,0.047018253440138685,0.17067734967500306,0.0430800215358698,0.05144344071090519,0.042627943947552926,0.17192971801060086
Republic of Korea,-0.0067950715089878,0.01036486177768699,-0.0119487107064877,0.009834714766341571,-0.004731297653982629,0.007494889751002909,-0.011957887972848838,0.009035258358023776
Moldova,0.018177780319601343,0.003135944702267468,0.01869750536901673,0.028852958972704332,0.020902293303600068,-0.0009075643142433515,0.01864102706168835,0.025066189253556
Romania,-0.052857061720800215,-0.044038755240832415,0.010639054244582929,0.0149917942764374,-0.053979323815903896,-0.045237554986650885,0.013157732612345551,0.015528032892816668
Russia,-0.0014130040745021074,0.019510345177406883,-0.011805475176249284,0.0017590703847396615,-0.003332992155086572,0.01905795465073905,-0.01143941288140053,0.004931938030873682
Rwanda,0.021514873216859284,0.03318551754752993,0.07735489712592578,0.2072099586451309,0.01982785524792259,0.035017798871240166,0.07834176049838089,0.17814907410072753
Réunion,-0.10252651100460997,-0.13057778091298627,0.01944971808455466,0.011734631310060913,-0.10584882437497516,-0.1274492624880337,0.036113046993532835,0.0017823266154350316
Saint Kitts and Nevis,0.03962962486597845,-0.04007112530575534,0.3486163259660335,0.08175493574000743,0.037493004707830194,-0.04187890319240205,0.24749574045664585,0.13829914726487633
Saint Lucia,-0.020459751608234208,0.08305569058121058,,,-0.017083261382623317,0.08562178428145918,,
Saint Vincent and the Grenadines,-0.013498464786783874,-0.007072004405874751,-0.011970956152799634,-0.02382808940752538,-0.011207149360920404,-0.00553638869285359,-0.02105415946538243,-0.012598440582449187
Sao Tome and Principe,-0.09276348015132516,-0.1032447252748672,0.02823784462235515,-0.13824575481916904,-0.08003362666266038,-0.11535967211716275,0.0885293039504341,-0.07322614895327967
Saudi Arabia,0.047126753677766114,0.06638558804049521,0.01760486829981148,-0.006477397792688373,0.04363812158184583,0.06895524762506211,0.01655391915475833,-0.003638509985282762
Senegal,-0.03312117346258593,-0.010393483821947493,0.08542638464579808,0.07541600762970481,-0.04393325514340834,-0.004753705742920656,0.08825968948637453,0.07144955764783582
Serbia,-0.04736170186371566,0.028214083192999957,0.04342462805499028,0.023667190651692045,-0.05249914422046505,0.024346962760544964,0.034542648510093234,0.03519010923276207
Serbia and Montenegro,0.006949096936476936,0.02722695448645781,0.00340638868657768,0.005777070123846109,0.03466740298412856,0.010362966784839708,0.002324888294866308,0.007387031816776898
Seychelles,0.06213751275814877,0.011009692384990392,0.0,0.0,0.04352797960856948,0.029477633767546113,0.0,0.0
Sierra Leone,0.10481307925328866,0.0036389830850805053,-0.0791796029275887,-0.14163174661567632,0.0920562965426858,0.003212529323984377,-0.06180681128565001,-0.17443862477434502
Singapore,-0.017023781880804157,-0.011958757076487836,0.01078182673640536,-0.00643903866213652,-0.017928617366090766,-0.011160772745460814,0.012289822041578288,-0.007475297724958284
Slovakia,-0.13299087197517787,-0.11969623612979395,-0.01059387753712669,-0.006570110658665268,-0.12693967235984374,-0.12543998802896605,-0.008227988588571383,-0.009993689112545777
Slovenia,0.04361013028004662,0.012673447756491079,0.0006111320937698131,0.003071112482480878,0.04252435729852693,0.013776027791709606,0.0020029904810421285,0.002929388858690745
Solomon Islands,0.039048956052893616,0.056811889456083065,0.023956065520756846,0.0512457521788056,0.05013720038847525,0.03935376740493615,0.03760090884978122,0.03760090884978122
South Africa,0.019129962019565242,0.012494844165318498,-0.021347016675350505,0.004385485333739865,0.022076581627842647,0.011597741538383246,-0.018978422414992136,0.002283944089472721
Spain,0.01143401555345235,0.0097748701723517,-0.005270377689836697,0.025408209905808686,0.013796248694460772,0.006316732040036318,-0.008996000222250451,0.0283599163752101
Sri Lanka,-0.022586921865689048,0.0012009152854353462,-0.01527299373668041,-0.03021414415394101,-0.023108303753248568,0.0012781208120431595,-0.011624507043981066,-0.03283351327969305
Sudan (former),0.02156245990004186,-0.002605535417967925,0.03556920672382107,0.06699564284288677,0.012412285855175129,0.010786503401390774,0.0478856833007441,0.054991782491699184
Suriname,-0.008549922455212364,0.02778868197050465,0.037335837273390085,0.08117569193946454,0.010600325609435895,0.009778208530394293,0.04891766639344732,0.06701618442310646
